date,home,away,y,pH,pD,pA
2018-08-11,Newcastle United,Tottenham Hotspur,2,0.156011641834,0.245119207531,0.598869150635
2018-08-12,Southampton FC,Burnley FC,1,0.428064971947,0.274190153118,0.297744874935
2018-08-12,Arsenal FC,Manchester City,2,0.226690371104,0.275656068338,0.497653560557
2018-08-18,Everton FC,Southampton FC,0,0.510637130239,0.270250590092,0.219112279669
2018-08-18,Chelsea FC,Arsenal FC,0,0.516462305784,0.265843728276,0.217693965940
2018-08-19,Burnley FC,Watford FC,2,0.505712894840,0.272937211270,0.221349893890
2018-08-20,Crystal Palace,Liverpool FC,2,0.210404682987,0.262288125032,0.527307191981
2018-08-25,AFC Bournemouth,Everton FC,1,0.402563169811,0.282430445518,0.315006384671
2018-08-26,Watford FC,Crystal Palace,0,0.370754151289,0.292825502770,0.336420345940
2018-08-26,Fulham FC,Burnley FC,0,0.327088559462,0.290288080533,0.382623360005
2018-08-26,Newcastle United,Chelsea FC,2,0.187707199548,0.256623532282,0.555669268170
2018-08-27,Manchester United,Tottenham Hotspur,2,0.362969569597,0.285755984720,0.351274445683
2018-09-01,Chelsea FC,AFC Bournemouth,0,0.657003264380,0.227586905036,0.115409830584
2018-09-01,Crystal Palace,Southampton FC,2,0.490497685510,0.270268900419,0.239233414071
2018-09-01,Manchester City,Newcastle United,0,0.815017874173,0.143332593928,0.041649531900
2018-09-02,Burnley FC,Manchester United,2,0.201455226408,0.269067608905,0.529477164687
2018-09-02,Watford FC,Tottenham Hotspur,0,0.140672659053,0.233587366631,0.625739974316
2018-09-15,Tottenham Hotspur,Liverpool FC,2,0.429145600027,0.292006295733,0.278848104240
2018-09-15,Manchester City,Fulham FC,0,0.843951407025,0.124864480748,0.031184112227
2018-09-15,Newcastle United,Arsenal FC,2,0.231397889242,0.272145649912,0.496456460846
2018-09-15,Watford FC,Manchester United,2,0.212429792819,0.261290307216,0.526279899965
2018-09-16,Wolverhampton Wanderers,Burnley FC,0,0.407120410335,0.280799018288,0.312080571376
2018-09-22,Fulham FC,Watford FC,1,0.331907472642,0.296289884185,0.371802643172
2018-09-22,Burnley FC,AFC Bournemouth,0,0.347638891000,0.289463742592,0.362897366408
2018-09-22,Crystal Palace,Newcastle United,1,0.496770267674,0.268349162930,0.234880569396
2018-09-22,Manchester United,Wolverhampton Wanderers,1,0.709294180743,0.205118755276,0.085587063981
