date,home,away,y,pH,pD,pA
2019-03-02,Tottenham Hotspur,Arsenal FC,1,0.502876202849,0.273773503147,0.223350294005
2019-03-02,Burnley FC,Crystal Palace,2,0.407624626288,0.292124820230,0.300250553482
2019-03-02,AFC Bournemouth,Manchester City,2,0.082003283679,0.204827251906,0.713169464415
2019-03-02,Manchester United,Southampton FC,0,0.730758491269,0.192062190416,0.077179318315
2019-03-03,Fulham FC,Chelsea FC,2,0.116942309363,0.215687953194,0.667369737443
2019-03-03,Everton FC,Liverpool FC,1,0.140652656918,0.242299656519,0.617047686563
2019-03-09,Newcastle United,Everton FC,0,0.391476390037,0.281594314889,0.326929295074
2019-03-09,Southampton FC,Tottenham Hotspur,0,0.154326983527,0.242507789341,0.603165227132
2019-03-09,Manchester City,Watford FC,0,0.807311951100,0.148276822056,0.044411226844
2019-03-10,Liverpool FC,Burnley FC,0,0.774921852274,0.165898901323,0.059179246403
2019-03-10,Chelsea FC,Wolverhampton Wanderers,1,0.652228151988,0.233775391917,0.113996456095
2019-03-10,Arsenal FC,Manchester United,0,0.380160665452,0.288103727457,0.331735607091
2019-03-16,AFC Bournemouth,Newcastle United,1,0.418475603722,0.295676621624,0.285847774654
2019-03-17,Fulham FC,Liverpool FC,2,0.051935474630,0.173160776326,0.774903749044
2019-03-17,Everton FC,Chelsea FC,0,0.227984435706,0.269411866356,0.502603697939
2019-03-30,Fulham FC,Manchester City,2,0.034633582706,0.143561536932,0.821804880362
2019-03-30,Burnley FC,Wolverhampton Wanderers,0,0.379564081779,0.298495274188,0.321940644033
2019-03-30,Manchester United,Watford FC,0,0.695862742640,0.205400368331,0.098736889029
2019-03-31,Liverpool FC,Tottenham Hotspur,0,0.571479364727,0.246090789492,0.182429845781
2019-04-01,Arsenal FC,Newcastle United,0,0.666462462573,0.221045607266,0.112491930161
2019-04-02,Wolverhampton Wanderers,Manchester United,0,0.184439371749,0.249675329323,0.565885298928
2019-04-02,Watford FC,Fulham FC,0,0.625874839293,0.237321903502,0.136803257205
2019-04-03,Tottenham Hotspur,Crystal Palace,0,0.656054233248,0.231712378664,0.112233388088
2019-04-05,Southampton FC,Liverpool FC,2,0.113255670223,0.226597384857,0.660146944920
2019-04-06,AFC Bournemouth,Burnley FC,2,0.442389322240,0.281725966551,0.275884711209
2019-04-06,Newcastle United,Crystal Palace,2,0.423917802725,0.285694041911,0.290388155365
2019-04-07,Everton FC,Arsenal FC,0,0.247534471216,0.277495957777,0.474969571007
2019-04-13,Southampton FC,Wolverhampton Wanderers,0,0.411531386146,0.285265828449,0.303202785406
2019-04-13,Fulham FC,Everton FC,0,0.184890557991,0.275166228902,0.539943213107
2019-04-14,Crystal Palace,Manchester City,2,0.088228451603,0.202417715177,0.709353833219
2019-04-14,Liverpool FC,Chelsea FC,0,0.578417161868,0.254343270137,0.167239567995
2019-04-15,Watford FC,Arsenal FC,2,0.218838309645,0.285844593887,0.495317096468
2019-04-20,Manchester City,Tottenham Hotspur,0,0.635846633076,0.227571509274,0.136581857650
2019-04-20,AFC Bournemouth,Fulham FC,2,0.628252897855,0.226812651173,0.144934450972
2019-04-20,Newcastle United,Southampton FC,0,0.425149271329,0.280924915499,0.293925813172
2019-04-21,Everton FC,Manchester United,0,0.242482562337,0.268704988626,0.488812449037
2019-04-21,Arsenal FC,Crystal Palace,2,0.666693830919,0.218599270280,0.114706898802
2019-04-22,Chelsea FC,Burnley FC,1,0.672827812090,0.217432429200,0.109739758710
2019-04-23,Watford FC,Southampton FC,1,0.441396793054,0.282347915604,0.276255291343
2019-04-24,Wolverhampton Wanderers,Arsenal FC,0,0.228966082425,0.273860024096,0.497173893479
2019-04-24,Manchester United,Manchester City,2,0.219994624444,0.281999732051,0.498005643505
2019-04-27,Crystal Palace,Everton FC,1,0.358499389399,0.296371790589,0.345128820012
2019-04-27,Southampton FC,AFC Bournemouth,1,0.449369571378,0.282446552893,0.268183875729
2019-04-27,Watford FC,Wolverhampton Wanderers,2,0.440601177663,0.279454729641,0.279944092696
2019-04-28,Burnley FC,Manchester City,2,0.085567679927,0.199733569623,0.714698750450
2019-04-28,Manchester United,Chelsea FC,1,0.424894300948,0.290687876329,0.284417822723
2019-05-03,Everton FC,Burnley FC,0,0.543245716613,0.259928013384,0.196826270002
2019-05-04,AFC Bournemouth,Tottenham Hotspur,0,0.191063263320,0.262275001843,0.546661734837
2019-05-04,Wolverhampton Wanderers,Fulham FC,0,0.609302888300,0.241657389708,0.149039721992
2019-05-04,Newcastle United,Liverpool FC,2,0.108131400189,0.219955190076,0.671913409735
2019-05-05,Chelsea FC,Watford FC,0,0.669136528785,0.220729327841,0.110134143374
2019-05-12,Burnley FC,Arsenal FC,2,0.252788380581,0.274912008161,0.472299611259
2019-05-12,Crystal Palace,AFC Bournemouth,0,0.446158200935,0.288495426965,0.265346372100
2019-05-12,Fulham FC,Newcastle United,2,0.298250206747,0.280532440954,0.421217352299
2019-05-12,Liverpool FC,Wolverhampton Wanderers,0,0.766123835886,0.171880453730,0.061995710384
2019-05-12,Tottenham Hotspur,Everton FC,1,0.570627946540,0.254559959296,0.174812094164
